licence_ref,description,licensee_name,trading_name,nominee_name,address_1,address_2,address_3,county,Full_address,latitude,longitude,g_address
N0154,Publican's Licence (7-Day Ordinary),Matthew Roche And John Roche,Cremore House,,Junction Of Ballygall Road East And,"Glasilawn Avenue And , 14 Fitzmaurice Road",Glasnevin,Dublin 11,"Cremore House, Junction Of Ballygall Road East And, Glasilawn Avenue And 14 Fitzmaurice Road, Glasnevin, Dublin 11",53.38245209999999,-6.277492899999999,"14 Fitzmaurice Rd, Ballygall, Dublin 11, D11 X433 Fitzmaurice Rd, Ballygall, Dublin 11, D11 X433, Ireland"
N0183,Publican's Licence (7-Day Ordinary),Ruby Mint Limited,The Quarry Public House,Noel Peacock,Ballygall Road East,Glasnevin,,Dublin 11,"The Quarry Public House, Ballygall Road East, Glasnevin, Dublin 11",53.38212,-6.276583599999999,"68 Ballygall Rd E, Ballygall, Dublin 11, D11 TY32, Ireland"
N2704,Publican's Licence (7-Day Ordinary),Carrtex B And S Limited,The Deputy Lord Mayor,,Meakstown Neighbourhood Centre Between St Margaret's Road And,Jamestown Road Adjacent To Jamestown And Century Business Parks,"Meakstown, Finglas",Dublin 11,"The Deputy Lord Mayor, Meakstown Neighbourhood Centre Between St Margaret's Road And, Jamestown Road Adjacent To Jamestown And Century Business Parks, Meakstown, Finglas, Dublin 11",53.4013211,-6.2973171,"St Margaret's Rd, Jamestown Little, Dublin 11, Ireland"
N0583,Publican's Licence (7-Day Ordinary),Lough Lace Taverns Limited,The Shamrock Lodge,,Glasnevin Avenue,Glasnevin,,Dublin 11,"The Shamrock Lodge, Glasnevin Avenue, Glasnevin, Dublin 11",53.3902183,-6.2999719,"Seamus Ennis Road, Finglas, Dublin, Ireland"
N0601,Publican's Licence (7-Day Ordinary),Ballymun House Limited,The Willows,Albert Martin,Willow Park Cresent,Ballymun,,Dublin 11,"The Willows, Willow Park Cresent, Ballymun, Dublin 11",53.39333209999999,-6.2860111,"74 Willow Park Cres, Finglas East, Ballymun, Dublin 11, Ireland"
S1480,Publican's Licence (7-Day Ordinary),Anglesea Taverns Limited,Eleanora's,,147a/149 And Rere Of 147 Drimnagh Road,,,Dublin 12,"Eleanora's, 147a/149 And Rere Of 147 Drimnagh Road, Dublin 12",53.3242158,-6.325416199999999,"147 Drimnagh Rd, Walkinstown, Dublin, Ireland"
S1520,Publican's Licence (7-Day Ordinary),Target Taverns Limited,The Stoneboat 35/37 Sundrive Road,,Rear 39 Sundrive Road And Rear 15 Sundrive Park And Extension,Attzatched To And Adjoining 39 And Rear 41 Sundrive Road,Crumlin,Dublin 12,"The Stoneboat 35/37 Sundrive Road, Rear 39 Sundrive Road And Rear 15 Sundrive Park And Extension, Attzatched To And Adjoining 39 And Rear 41 Sundrive Road, Crumlin, Dublin 12",53.3206345,-6.292099599999999,"35-37 Sundrive Park, Kimmage, Dublin 12, Co. Dublin, D12 PE83, Ireland"
S1762,Publican's Licence (7-Day Ordinary),The Laurels Public House Limited,The Laurels,,184/186 Whitehall Road West,Terenure,,Dublin 12,"The Laurels, 184/186 Whitehall Road West, Terenure, Dublin 12",53.3077832,-6.3193921,"186 Whitehall Rd W, Perrystown, Dublin, Ireland"
S2278,Publican's Licence (7-Day Ordinary),Dunnes Stores Unlimited Company,Dunne Stores,,Unit 48 Crumlin Shopping Centre,Basement Ground And First Floor,Crumlin,Dublin 12,"Dunne Stores, Unit 48 Crumlin Shopping Centre, Basement Ground And First Floor, Crumlin, Dublin 12",53.3300437,-6.3000406,"Crumlin Shopping Centre, Crumlin Rd, Crumlin, Dublin 12, D12 DRP4, Ireland"
S1477,Publican's Licence (7-Day Ordinary),Baymore Limited,The Black Forge,,And Extension Attached And Adjoining,Drimnagh,,Dublin 12,"The Black Forge, And Extension Attached And Adjoining, Drimnagh, Dublin 12",53.3240713,-6.326490799999999,"163 Drimnagh Rd, Walkinstown, Dublin, Ireland"
1010888,Publican's Licence (7-Day Ordinary),Processridge Limited,Shearys,,"1,3 & 5 Bangor Drive",Crumlin,,Dublin 12,"Shearys, 1,3 & 5 Bangor Drive, Crumlin, Dublin 12",53.3280921,-6.3049954,"1 Bangor Dr, Crumlin, Dublin 12, Ireland"
1001214,Publican's Licence (7-Day Ordinary),James Road Taverns Limited,The Traders Public House,,St. James Raod,Walkinstown,,Dublin 12,"The Traders Public House, St. James Raod, Walkinstown, Dublin 12",53.3070065,-6.3367825,"St James's Rd, Limekilnfarm, Dublin, Ireland"
N1118,Publican's Licence (7-Day Ordinary),Jb Plus Limited,The Halfway House,,Longmile Road And Premises Attached,Walkinstown,,Dublin 12,"The Halfway House, Longmile Road And Premises Attached, Walkinstown, Dublin 12",53.32385300000001,-6.3284806,"Walkinstown Ave, Walkinstown, Dublin 12, Ireland"
S1476,Publican's Licence (7-Day Ordinary),Addison Tower Limited,The Submarine Bar,,Near Crumlin Crossroads And Adjacent Cromwellsfort Roadd,And Quarry Road / Whitehall Road West,Crumlin,Dublin 12,"The Submarine Bar, Near Crumlin Crossroads And Adjacent Cromwellsfort Roadd, And Quarry Road / Whitehall Road West, Crumlin, Dublin 12",53.316056,-6.317396,"Crumlin Cross, Crumlin, Dublin 12, Ireland"
S1521,Publican's Licence (7-Day Ordinary),Sundrive Inns Limited,The Four Roads,,140/142 Sundrive Road,Crumlin,,Dublin 12,"The Four Roads, 140/142 Sundrive Road, Crumlin, Dublin 12",53.3245424,-6.296410799999999,"140 Sundrive Rd, Kimmage, Dublin, Ireland"
N1245,Publican's Licence (7-Day Ordinary),Houldings Inn Limited,The Cottage Inn,,493a Bluebell Avenue,,,Dublin 12,"The Cottage Inn, 493a Bluebell Avenue, Dublin 12",53.3313023,-6.343033399999999,"Bluebell Ave, Bluebell, Dublin, Ireland"
S1428,Publican's Licence (7-Day Ordinary),Gleaston Limited,The Marble Arch,,1 Benbulbin Road,,,Dublin 12,"The Marble Arch, 1 Benbulbin Road, Dublin 12",53.3358195,-6.3120599,"No 1 Benbulbin Road, Driminagh, Dublin 12, Ireland"
S1478,Publican's Licence (7-Day Ordinary),Fairfield Inns Limited,The Cherry Tree,,3 And 4 Walkinstown Cross,Crumlin,,Dublin 12,"The Cherry Tree, 3 And 4 Walkinstown Cross, Crumlin, Dublin 12",53.31644,-6.333025,"Walkinstown Cross, Walkinstown, Dublin, Ireland"
S1430,Publican's Licence (7-Day Ordinary),Vantage Bars Limited,The Gate Bar,,153/155 Crumlin Road,And New Extensions,,Dublin 12,"The Gate Bar, 153/155 Crumlin Road, And New Extensions, Dublin 12",53.3286837,-6.3033313,"153-155 Crumlin Rd, Drimnagh, Dublin 15, D12 HA27, Ireland"
S1482,Publican's Licence (7-Day Ordinary),Shancroft Taverns Limited,The Village Inn,Larry O'shea,2/4/6 Lisle Road,Crumlin,,Dublin 12,"The Village Inn, 2/4/6 Lisle Road, Crumlin, Dublin 12",53.3202407,-6.316785299999999,"Lisle House, Lisle Road, Dublin, Ireland"
S1431,Publican's Licence (7-Day Ordinary),Far East Restaurant Limited,The Old County Bar,,125/127 Old County Road,Also Known As 133 Old County Road,Crumlin,Dublin 12,"The Old County Bar, 125/127 Old County Road, Also Known As 133 Old County Road, Crumlin, Dublin 12",53.3274422,-6.3061957,"125 Old County Rd, Drimnagh, Dublin, Co. Dublin, D12 WF21, Ireland"
S1484,Publican's Licence (7-Day Ordinary),Phoenix Inn Limited,The Kestrel House,,Walkinstown Cross,Walkinstown,,Dublin 12,"The Kestrel House, Walkinstown Cross, Walkinstown, Dublin 12",53.31741,-6.3323592,"157 Walkinstown Rd, Walkinstown, Dublin 12, Ireland"
N0125,Publican's Licence (7-Day Ordinary),Baldoyle Taverns Limited,The White House,,Main Street,Baldoyle,,Dublin 13,"The White House, Main Street, Baldoyle, Dublin 13",53.3979684,-6.1271371,"12 - 13 Main St, Baldoyle, Dublin 13, Ireland"
N1343,Publican's Licence (7-Day Ordinary),Abunai Limited,The Racecourse Inn,,Grange Road,Baldoyle,,Dublin 13,"The Racecourse Inn, Grange Road, Baldoyle, Dublin 13",53.3966784,-6.1370042,"Racecourse Shopping Centre, Grange Rd, Baldoyle, Dublin, Ireland"
N0902,Publican's Licence (7-Day Ordinary),Conlyn Holdings Limited,The Bayside Inn,,Kilbarrack,Sutton,,Dublin 13,"The Bayside Inn, Kilbarrack, Sutton, Dublin 13",53.3889596,-6.1412765,"2 Bayside Square N, Kilbarrack Lower, Dublin, Co. Dublin, Ireland"
S0249,Publican's Licence (7-Day Ordinary),Dundrum House Limited,Dundrum House,,57 Main Street,Dundrum,,Dublin 14,"Dundrum House, 57 Main Street, Dundrum, Dublin 14",53.2893902,-6.2433345,"57 Main St, Dundrum, Dublin 14, Ireland"
S1328,Publican's Licence (7-Day Ordinary),Greenbead Limited,Ballinteer House,,Ballinteer Ave,,,Dublin 14,"Ballinteer House, Ballinteer Ave, Dublin 14",53.2747083,-6.2545715,"SuperValu Shopping Centre, Ballinteer Ave, Ballinteer, Dublin, Ireland"
S0250,Publican's Licence (7-Day Ordinary),Dundrum Taverns Limited,The Eagle House,,Main Street,Dundrum,,Dublin 14,"The Eagle House, Main Street, Dundrum, Dublin 14",53.289016,-6.242933,"Main St, Dundrum, Dublin, Ireland"
S0253,Publican's Licence (7-Day Ordinary),Charjon Investments Limited,The Goat,,Goatstown House(and Premises Attached),Dundrum,,Dublin 14,"The Goat, Goatstown House(and Premises Attached), Dundrum, Dublin 14",53.2926617,-6.2298924,"14 Lower Kilmacud Rd, Mountanville, Dublin, D14 PY56, Ireland"
S4253,Publican's Licence (7-Day Ordinary),Harvey Nichols(dublin) Limited,Harvey Nichols,,Portion Of Unit Csc Two,Dundrum Town Centre,Dundrum,Dublin 14,"Harvey Nichols, Portion Of Unit Csc Two, Dundrum Town Centre, Dundrum, Dublin 14",53.287008,-6.2422669,"16 Sandyford Rd, Dundrum, Dublin, Ireland"
S0257,Publican's Licence (7-Day Ordinary),Mary Bugler,Buglers,,Ballyboden House,Ballyboden,Rathfarnham,Dublin 14,"Buglers, Ballyboden House, Ballyboden, Rathfarnham, Dublin 14",53.2841005,-6.2954289,"Ballyboden Rd, Rathfarnham, Dublin, Ireland"
S4500,Publican's Licence (7-Day Ordinary),Cosier Bars Limited,The Rockfield Lounge,,"Block 14 (west Block), Rockfield Central",Ballaly Luas Stop,Dundrum,Dublin 14,"The Rockfield Lounge, Block 14 (west Block), Rockfield Central, Ballaly Luas Stop, Dundrum, Dublin 14",53.2862671,-6.2372799,"Ground Floor, North Block, Rockfield Central Dundrum, Dublin 16, Ireland"
S0187,Publican's Licence (7-Day Ordinary),Milltown Inns Limited,Dropping Well,,Junction Of Darty Road And,Lower Churchtown Road And New Extensions,Classons Bridge,Dublin 14,"Dropping Well, Junction Of Darty Road And, Lower Churchtown Road And New Extensions, Classons Bridge, Dublin 14",53.307986,-6.255082,"Milltown Rd, Rathmines Great, Dublin 6, Ireland"
S0230,Publican's Licence (7-Day Ordinary),Yellow House Bar Limited,Yellow House,,Rathfarnham,,,Dublin 14,"Yellow House, Rathfarnham, Dublin 14",53.2967024,-6.284808300000001,"1 Willbrook Rd, Rathfarnham, Dublin 14, D14 Y892, Ireland"
S2031,Publican's Licence (7-Day Ordinary),Ploughboy Bars Limited,Merry Ploughboy Pub,,Newtown,Edmondstown Road,Rockbrook,Dublin 14,"Merry Ploughboy Pub, Newtown, Edmondstown Road, Rockbrook, Dublin 14",53.2644038,-6.2968836,"463-619 Edmondstown Rd, Newtown, Co. Dublin, Ireland"
S2186,Publican's Licence (7-Day Ordinary),Sandyford Inns Limited,The Balally Inn,,Balally Shopping Centre,Dundrum,,Dublin 14,"The Balally Inn, Balally Shopping Centre, Dundrum, Dublin 14",53.2765898,-6.2240563,"Blackthorn Dr, Stillorgan, Dublin, Co. Dun Laoghaire-Rathdown, Ireland"
S0216,Publican's Licence (7-Day Ordinary),James Collins Limited,Uncle Toms Cabin,Anthony Collins,"Rosemount, Lower Churchtown",Dundrum,,Dublin 14,"Uncle Toms Cabin, Rosemount, Lower Churchtown, Dundrum, Dublin 14",53.2952416,-6.2462502,"Dundrum Rd, Dundrum, Dublin 14, Ireland"
S0227,Publican's Licence (7-Day Ordinary),Heatglo Limited,Revels,,37 Main Street,Rathfarnham,,Dublin 14,"Revels, 37 Main Street, Rathfarnham, Dublin 14",53.2983382,-6.285603999999999,"37 Main St, Rathfarnham, Dublin 14, Ireland"
S0260,Publican's Licence (7-Day Ordinary),Darjan Limited,The Bottle Tower,Edwin Finnegan,Nowlan (beaumont) Avenue,Churchtown,,Dublin 14,"The Bottle Tower, Nowlan (beaumont) Avenue, Churchtown, Dublin 14",53.29500609999999,-6.2568635,"1 Beaumont Ave, Churchtown Upper, Dublin 14, Ireland"
S0214,Publican's Licence (7-Day Ordinary),Arbour Inns Limited,Arbour House,,Windy Arbour,Dundrum Road,,Dublin 14,"Arbour House, Windy Arbour, Dundrum Road, Dublin 14",53.30116659999999,-6.2459786,"Windy Arbour, Dundrum Rd, Dundrum, Dublin 14, Ireland"
S0259,Publican's Licence (7-Day Ordinary),Larkfield Limited,The Willows,Colm Mcweeney,26 / 28 Willow Road,Dundrum,,Dublin 14,"The Willows, 26 / 28 Willow Road, Dundrum, Dublin 14",53.2841442,-6.2507361,"32 Willow Rd, Stillorgan, Dublin, Co. Dun Laoghaire, Ireland"
S0232,Publican's Licence (7-Day Ordinary),Marlow Taverns Limited,The Glenside,,Landscape Road,Churchtown,,Dublin 14,"The Glenside, Landscape Road, Churchtown, Dublin 14",53.29974139999999,-6.268112400000001,"20 Landscape Rd, Newtown Little, Dublin 14, Ireland"
N1433,Publican's Licence (7-Day Ordinary),Meagher Inns Limited,Hartstown House,,Hartstown Shopping Centre,"Charryfield Lawn, Hartstown",Clonsilla,Dublin 15,"Hartstown House, Hartstown Shopping Centre, Charryfield Lawn, Hartstown, Clonsilla, Dublin 15",53.39276330000001,-6.419632699999999,"Hartstown Shopping Centre, Hartstown Rd, Hartstown, Dublin 15, Ireland"
N0242,Publican's Licence (7-Day Ordinary),Ballymun House Limited,Myos,,(and Premises Adjoining Thereto),Castleknock,,Dublin 15,"Myos, (and Premises Adjoining Thereto), Castleknock, Dublin 15",53.3728567,-6.3625105,"Main Street, Castleknock, Dublin 15, Ireland"
N2474,Publican's Licence (7-Day Ordinary),Brasserie Gastropub 15 Limited,Brasserie Gastropub 15,,Asheligh Retail Centre,Main Street,Castleknock,Dublin 15,"Brasserie Gastropub 15, Asheligh Retail Centre, Main Street, Castleknock, Dublin 15",53.372449,-6.3605559,"Ashleigh Centre, Main Street, Castleknock, Castleknock, Dublin, Ireland"
N1883,Publican's Licence (7-Day Ordinary),Luttrellstown Castle Unlimited Company,Luttrellstown Castle Clubhouse,,The Clubhouse,Luttrellstown Castle Golf And Country Club,Castleknock,Dublin 15,"Luttrellstown Castle Clubhouse, The Clubhouse, Luttrellstown Castle Golf And Country Club, Castleknock, Dublin 15",53.3735763,-6.4309083,"Castleknock, Co. Dublin, D15 RH92, Ireland"
N2582,Publican's Licence (7-Day Ordinary),Paximol Limited,Park Plaza Tyrrelstown,,Tyrrelstown,Mulhuddart,,Dublin 15,"Park Plaza Tyrrelstown, Tyrrelstown, Mulhuddart, Dublin 15",53.4194488,-6.3797316,"Church Rd, Tyrrelstown, Dublin 15, Ireland"
1002519,Publican's Licence (7-Day Ordinary),Naomh Padraig Taverns Limited,Cuchulainns Of Ongar,,42-44 Main Street,Ongar Village,,Dublin 15,"Cuchulainns Of Ongar, 42-44 Main Street, Ongar Village, Dublin 15",53.395985,-6.439998999999999,"44 Main St, Ongar Village, Clonsilla, Dublin 15, Ireland"
N0623,Publican's Licence (7-Day Ordinary),Avanex Trading Limited,Brady's Castleknock Inn,,"(premises & Extension), Navan Rd",Blanchardstown,,Dublin 15,"Brady's Castleknock Inn, (premises & Extension), Navan Rd, Blanchardstown, Dublin 15",53.3840101,-6.367768,"15 Old Navan Rd, Blanchardstown, Dublin 15, Ireland"
N0228,Publican's Licence (7-Day Ordinary),Olsap Inns Limited,The Greyhound Inn,,Main Street,Blanchardstown,,Dublin 15,"The Greyhound Inn, Main Street, Blanchardstown, Dublin 15",53.386826,-6.377637,"15 an tSráid Mhór, Blanchardstown, Dublin.15, Co. Contae Bhaile Átha Cliath, Ireland"
N0226,Publican's Licence (7-Day Ordinary),Batchside Limited,The Vineyard,,Main Street,Blanchardstown,,Dublin 15,"The Vineyard, Main Street, Blanchardstown, Dublin 15",53.385909,-6.374389,"Main St, Blanchardstown Village, Dublin, D15 V20W, Ireland"
N1422,Publican's Licence (7-Day Ordinary),Irisdale Limited,Leonard's Pub,,1 Leonard's Pub,"Corduff Shopping Centre, Corduff",Castleknock,Dublin 15,"Leonard's Pub, 1 Leonard's Pub, Corduff Shopping Centre, Corduff, Castleknock, Dublin 15",53.3996123,-6.3745758,"Blackcourt Road, Corduff, Dublin 15, Co. Dublin, Ireland"
1009141,Publican's Licence (7-Day Ordinary),Cglf Limited,Castleknock Golf Club,,Diswellstown,Castleknock,,Dublin 15,"Castleknock Golf Club, Diswellstown, Castleknock, Dublin 15",53.365775,-6.395446,"Porterstown Rd, Diswellstown, Dublin 15, Ireland"
1000996,Publican's Licence (7-Day Ordinary),Frank Gleeson,Paidí Ógs,,Mulhuddart Village,,,Dublin 15,"Paidí Ógs, Mulhuddart Village, Dublin 15",53.402624,-6.397469999999999,"Buzzardstown, Dublin, Co. Dublin, Ireland"
N0971,Publican's Licence (7-Day Ordinary),Cranford Inns Limited,The Roselawn Inn,,"Unit O, Roselawn Shopping Centre",Castleknock,,Dublin 15,"The Roselawn Inn, Unit O, Roselawn Shopping Centre, Castleknock, Dublin 15",53.3831589,-6.380830800000001,"Unit M, Roselawn Shopping Centre, Roselawn Road, Dublin 15, Ireland"
N2070,Publican's Licence (7-Day Ordinary),Alpine Taverns Limited,The Carpenter,,Carpenterstown Road,Castleknock,,Dublin 15,"The Carpenter, Carpenterstown Road, Castleknock, Dublin 15",53.3720083,-6.3891157,"Carpenterstown Road, Carpenterstown, Dublin 15, Ireland"
1007597,Publican's Licence (7-Day Ordinary),B And H Inns Limited,The Bell/davy And Phelans Bar,Barry Horgan,Navan Road/castleknock Road,Blanchardstown,,Dublin 15,"The Bell/davy And Phelans Bar, Navan Road/castleknock Road, Blanchardstown, Dublin 15",53.3848948,-6.371392699999999,"Navan Rd, Blanchardstown, Dublin, Ireland"
N2244,Publican's Licence (7-Day Ordinary),"J D Wetherspoon Plc,jd Wethrspoon Ireland",The Great Wood,,West End Commercial Village,Off Snugsborough Road,Blanchardstown,Dublin 15,"The Great Wood, West End Commercial Village, Off Snugsborough Road, Blanchardstown, Dublin 15",53.3892629,-6.3887845,"Westend Retail Park, Blanchardstown, Dublin 15, Ireland"
S4354,Publican's Licence (7-Day Ordinary),Cedbury Limited,Tgi Friday's/dante,,Unit Csa 1 Level 2 Building 9,"Town Square, Dundrum Town Centre",Sandyford Road,Dublin 16,"Tgi Friday's/dante, Unit Csa 1 Level 2 Building 9, Town Square, Dundrum Town Centre, Sandyford Road, Dublin 16",53.2778784,-6.231125,"Sandyford Rd, Dublin, Ireland"
S4289,Publican's Licence (7-Day Ordinary),Dundrum Retail Gp Designated Activity Company,Winters Bar,,"Building A, Unit 1-2 Dundrum Town Centre",Dundrum Town Centre,,Dublin 16,"Winters Bar, Building A, Unit 1-2 Dundrum Town Centre, Dundrum Town Centre, Dublin 16",53.287395,-6.2426111,"Level 1, Dundrum Town Centre, Unit 38, Dublin 16, Ireland"
S1177,Publican's Licence (7-Day Ordinary),Thornhart Limited,The Coach House,,Woodlawn,Ballinteer,,Dublin 16,"The Coach House, Woodlawn, Ballinteer, Dublin 16",53.2764191,-6.249104,"16 Ballinteer Ave, Ballinteer, Dublin, Ireland"
1010020,Publican's Licence (7-Day Ordinary),Ashford Investments Limited,The Eden House,,The Eden House,Grange Road,Rathfarnham,Dublin 16,"The Eden House, The Eden House, Grange Road, Rathfarnham, Dublin 16",53.2812046,-6.275886799999999,"16 Grange Rd, Haroldsgrange, Dublin, Ireland"
N0311,Publican's Licence (7-Day Ordinary),Crosswaithe Developments Limited,Campions,,Balgriffin,Malahide Road,,Dublin 17,"Campions, Balgriffin, Malahide Road, Dublin 17",53.408854,-6.178414999999999,"Malahide Rd, Balgriffin, Co. Fingal, Ireland"
N0976,Publican's Licence (7-Day Ordinary),Cocomore Limited,Martin's,Aidan Carroll,Clonshaugh Shopping Centre,Clonshaugh,Coolock,Dublin 17,"Martin's, Clonshaugh Shopping Centre, Clonshaugh, Coolock, Dublin 17",53.4032355,-6.206577999999999,"Priorswood, Dublin, Ireland"
N2433,Publican's Licence (7-Day Ordinary),International Sports Activities Limited,Astro Park,,Southern Side Of Oscar Traynor Road,"Coolock Lane, Coolock",Adjacent To Exsisting Amateur Football Premises,Dublin 17,"Astro Park, Southern Side Of Oscar Traynor Road, Coolock Lane, Coolock, Adjacent To Exsisting Amateur Football Premises, Dublin 17",53.3969669,-6.2290588,"17 Coolock Ln, Kilmore, Dublin 17, Ireland"
1010310,Publican's Licence (7-Day Ordinary),Central City Catering Limited,Marcel's,,13 Merrion Row,,,Dublin 2,"Marcel's, 13 Merrion Row, Dublin 2",53.33831,-6.254544,"13 Merrion Row, Dublin 2, D02 AP80, Ireland"
S0029,Publican's Licence (7-Day Ordinary),O'donoghues (merrion Row) Limited,O'donoghues,,14 Merrion Row And 15 Merrion Row,,,Dublin 2,"O'donoghues, 14 Merrion Row And 15 Merrion Row, Dublin 2",53.3382083,-6.2542292,"15 Merrion Row, Dublin, Ireland"
S0067,Publican's Licence (7-Day Ordinary),Kateo Investments Limited,Jj Smyths/jjs,,12 Aungier Street,,,Dublin 2,"Jj Smyths/jjs, 12 Aungier Street, Dublin 2",53.34061759999999,-6.2654435,"12 Aungier St, Dublin 2, D02 CR90, Ireland"
S0028,Publican's Licence (7-Day Ordinary),Trenthall Limited,Foleys,,1 Merrion Row,,,Dublin 2,"Foleys, 1 Merrion Row, Dublin 2",53.3383196,-6.2537644,"1 Merrion Row, Dublin 2, D02 HY07, Ireland"
S3032,Publican's Licence (7-Day Ordinary),Fenderside Designated Activity Company,The Pod / Crawdaddy/the Lobby Bar/tripod,,Part Of The Former Harcourt Street Station,Hatch Street Upper And Newly Constructed Extension,,Dublin 2,"The Pod / Crawdaddy/the Lobby Bar/tripod, Part Of The Former Harcourt Street Station, Hatch Street Upper And Newly Constructed Extension, Dublin 2",53.3334463,-6.262433199999999,"The Old Harcourt Street Train Station, Harcourt St, Saint Kevin's, Dublin 2, Ireland"
S0088,Publican's Licence (7-Day Ordinary),Butterfield Taverns Limited,The Foggy Dew,,1 Upper Fownes Street And Part Of,14/19 Crow Street And,2 Sprangers Yard,Dublin 2,"The Foggy Dew, 1 Upper Fownes Street And Part Of, 14/19 Crow Street And, 2 Sprangers Yard, Dublin 2",53.3444284,-6.263455599999999,"1 Fownes Street Upper, Temple Bar, Dublin 2, D02 WP21, Ireland"
S0007,Publican's Licence (7-Day Ordinary),Tramline Taverns Limited,Tramline,,D'olier House,21 D'olier Street,,Dublin 2,"Tramline, D'olier House, 21 D'olier Street, Dublin 2",53.346317,-6.2579384,"21 D'Olier Street, Dublin 2, Co. Dublin, D02 XY31, Ireland"
S0027,Publican's Licence (7-Day Ordinary),Studio Investments Limited,The Lombard,,1 Lombard St East (grd Floor & Basement),2 Lombard St East (grd Floor),44 Pearse Street,Dublin 2,"The Lombard, 1 Lombard St East (grd Floor & Basement), 2 Lombard St East (grd Floor), 44 Pearse Street, Dublin 2",53.3442118,-6.2489344,"44 Pearse St, Dublin, D02 PX31, Ireland"
S0083,Publican's Licence (7-Day Ordinary),Abaris House Limited,Thomas Reads And The Oak,,81 And 82 Dame Street,12 Crane Lane And 2 And 3 Parliament Street,,Dublin 2,"Thomas Reads And The Oak, 81 And 82 Dame Street, 12 Crane Lane And 2 And 3 Parliament Street, Dublin 2",53.3442484,-6.267112,"1-3 Parliament St, Temple Bar, Dublin 2, D02 AN28, Ireland"
S0025,Publican's Licence (7-Day Ordinary),Green Gem Taverns Limited,Eamon Doran's Tavern On The Green,,104/105 Lower Leesone Street,And Portion Of Basement Of 103 Lower Leeson Street,,Dublin 2,"Eamon Doran's Tavern On The Green, 104/105 Lower Leesone Street, And Portion Of Basement Of 103 Lower Leeson Street, Dublin 2",53.3361394,-6.2568633,"104-105 Leeson Street Lower, Dublin 2, D02 K710, Ireland"
1007737,Publican's Licence (7-Day Ordinary),Peters Pub Limited,Peter's Pub,,No 1 And 2 Johnson'place,,,Dublin 2,"Peter's Pub, No 1 And 2 Johnson'place, Dublin 2",53.3409325,-6.2632689,"1 Johnson Pl, Dublin, D02 HW58, Ireland"
S0210,Publican's Licence (7-Day Ordinary),Polarside Limited,The Portobello,,33 South Richmond Street And,"2, 3 And Part Of 4 Charlemont Mall",,Dublin 2,"The Portobello, 33 South Richmond Street And, 2, 3 And Part Of 4 Charlemont Mall, Dublin 2",53.3303013,-6.2638548,"33 South Richmond Street, Saint Kevin's, Dublin 2, Ireland"
S0078,Publican's Licence (7-Day Ordinary),Belfeside Limited,Sheehans,,17 Chatham St Upper,,,Dublin 2,"Sheehans, 17 Chatham St Upper, Dublin 2",53.3409566,-6.261779499999999,"17 Chatham St, Dublin 2, Ireland"
S0041,Publican's Licence (7-Day Ordinary),Brigante Investments Limited,Ned's Of Townsend Street,,44 Townsend Street,,,Dublin 2,"Ned's Of Townsend Street, 44 Townsend Street, Dublin 2",53.34587,-6.2519868,"44 Townsend St, Dublin 2, Ireland"
S4304,Publican's Licence (7-Day Ordinary),Cool Force Limited,The Grotto,,21-26 South Anne Street,,,Dublin 2,"The Grotto, 21-26 South Anne Street, Dublin 2",53.3409938,-6.2590138,"Unit 2, 21-26 South Anne Street, Dublin 2, Dublin, Ireland"
S3718,Publican's Licence (7-Day Ordinary),Peadar Kearneys Limited,Peadar Kearney's,,64 Dame Street,,,Dublin 2,"Peadar Kearney's, 64 Dame Street, Dublin 2",53.34426020000001,-6.2653579,"64 Dame St, Temple Bar, Dublin, Co. Dublin, Ireland"
1011470,Publican's Licence (7-Day Ordinary),Timothy O'connor And Wendy O'connor,Scruffy Murphys,Timothy O'connor,1-2 Powerscourt,Lower Mount Street,,Dublin 2,"Scruffy Murphys, 1-2 Powerscourt, Lower Mount Street, Dublin 2",53.3379001,-6.2428233,"1 Power's Ct, Grand Canal Dock, Dublin 2, Ireland"
S0092,Publican's Licence (7-Day Ordinary),Tabulatum Management Limited,The George,,89 South Great George's Street And Unit 4 Wicklow House,And Unit 3 Wicklow House,,Dublin 2,"The George, 89 South Great George's Street And Unit 4 Wicklow House, And Unit 3 Wicklow House, Dublin 2",53.3437466,-6.2646533,"South Great George's Street South Great George's Street, Dublin 2, D02 R220, Ireland"
S2738,Publican's Licence (7-Day Ordinary),Chicago Rock Cafe Limited,Tgi Fridays St. Stephens Green,,Unit B1(b) St Stephens Green Centre,Basement & Ground Floor,St Stephen's Green West,Dublin 2,"Tgi Fridays St. Stephens Green, Unit B1(b) St Stephens Green Centre, Basement & Ground Floor, St Stephen's Green West, Dublin 2",53.3397527,-6.2613404,"2 St Stephen's Green, Dublin 2, D02 HX65, Ireland"
S4096,Publican's Licence (7-Day Ordinary),Trionview Limited,Osteria Lucio,,The Malting Tower,Grand Canal Quay,,Dublin 2,"Osteria Lucio, The Malting Tower, Grand Canal Quay, Dublin 2",53.340093,-6.239316,"The Malting Tower, Grand Canal Quay, Clanwilliam Terrace, Dublin, D02 DW90, Ireland"
